ApplicantName,Callsign,FileNumber,Filing State,Red Light,AppType,Accepted For Filing PN,Class Of Earth Station,SiteID,AntennaID,Quantity,SiteStreet1,SiteStreet2,SiteCity,SiteCounty,Site State,Site Zip Code,LatDeg,LatMin,LatSec,LonDeg,LonMin,LonSec,latitude,longitude,marker-symbol,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,8,8,1,8507 Hwy E,,HOUSTON,,MO,65483,37,21,29.29,91,55,16.77,37.3581361111111,-91.921325,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,9,9,1,1603 Kingswood Drive,,FULTON,,MO,65251,38,49,34.82,91,58,10.88,38.8263388888889,-91.9696888888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,10,10,1,300 East 3rd Street,,MOUNTAIN VIEW,,MO,65548,36,59,52.59,91,41,58.55,36.9979416666667,-91.6995972222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,11,11,1,4618 Henwick Lane,,JEFFERSON CITY,,MO,65109,38,35,34.19,92,16,28.2,38.5928305555556,-92.2745,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,12,12,1,904 Old Highway 63 South,,COLUMBIA,,MO,65201,38,56,24.09,92,18,22.69,38.940025,-92.3063027777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,13,13,1,Hwy 24 E Jones Lane,,MOBERLY,,MO,65270,39,27,7.21,92,23,28.03,39.4520027777778,-92.3911194444445,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,14,14,1,26575 Jewell Avenue,,,,MO,63552,39,48,7.68,92,28,32.58,39.8021333333333,-92.4757166666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,15,15,1,240 Hwy YY,,LEBANON,,MO,65536,37,41,52.88,92,39,49.96,37.6980222222222,-92.6638777777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,16,16,1,123 Bosa Drive,,ST ROBERT,,MO,65584,37,48,30.05,92,8,24.99,37.8083472222222,-92.140275,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,17,17,1,1168 Kk Hwy,,OSAGE BEACH,,MO,OSAGE,38,7,6.66,92,41,25.88,38.1185166666667,-92.6905222222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,18,18,1,31469 S. Highway 5,,TIPTON,,MO,65081,38,36,55.13,92,47,20.74,38.6153138888889,-92.7890944444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,19,19,1,1105 State Highway Cc,,MARSHFIELD,,MO,65706,37,21,23.35,92,53,25.33,37.3564861111111,-92.8903694444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,20,20,1,1000 South Apache Drive,,MARSHALL,,MO,65340,39,6,33.62,93,12,55.67,39.1093388888889,-93.2154638888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,21,21,1,224 Church Road,,BRANSON,,MO,65616,36,41,11.73,93,13,10.06,36.6865916666667,-93.2194611111111,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,22,22,1,910 Shull Street,,AVA,,MO,65608,36,56,40.33,92,40,8.75,36.9445361111111,-92.6690972222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,23,23,1,1201 West Broadway Boulevard,,SEDALIA,,MO,65301,38,42,15.71,93,14,29.77,38.7043638888889,-93.2416027777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,24,24,1,904 South Kimbrough Avenue,,SPRINGFIELD,,MO,65806,37,11,53.89,93,17,12.35,37.1983027777778,-93.2867638888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,25,25,1,4450 South Farm Road 141,,SPRINGFIELD,,MO,65810,37,8,2.61,93,19,24.76,37.1340583333333,-93.3235444444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,26,26,1,1575 Mt Gilead Rd,,BOLIVAR,,MO,65613,37,35,25.17,93,23,45.84,37.590325,-93.3960666666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,27,27,1,1357 South Ingram Mill Road,,SPRINGFIELD,,MO,65804,37,11,17.57,93,13,36.16,37.1882138888889,-93.2267111111111,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,28,28,1,102 North Bismark Street,,CONCORDIA,,MO,64020,38,59,23.59,93,34,14.21,38.9898861111111,-93.5706138888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,29,29,1,10642 W Old 190 Hwy,,CHILLICOTHE,,MO,64601,39,48,51.36,93,35,0.54,39.8142666666667,-93.5834833333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,30,30,1,2930 Oklahoma Avenue,,TRENTON,,MO,64683,40,5,35.73,93,36,11.7,40.0932583333333,-93.60325,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,31,31,1,1515 SE State Hwy Dd,,WARRENSBURG,,MO,64093,38,44,38.3,93,42,34.56,38.7439722222222,-93.7096,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,32,32,1,320 West Jackson Street,,WILLARD,,MO,65781,37,18,42.6,93,26,20.47,37.3118333333333,-93.4390194444445,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,33,33,1,16922 Highway 39,,AURORA,,MO,65769,37,1,31.18,93,46,40.35,37.0253277777778,-93.777875,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,34,34,1,297 NW 40,,CLINTON,,MO,64735,38,22,20.53,93,48,40.83,38.3723694444444,-93.8113416666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,35,35,1,3426 County Farm Road,,CASSVILLE,,MO,65625,36,41,51.72,93,52,40.38,36.6977,-93.8778833333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,36,36,1,300 East Crestview Drive,,ODESSA,,MO,64076,38,59,13.73,93,57,1.5,38.9871472222222,-93.9504166666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,37,37,1,211 Ash Street,,GALLATIN,,MO,64640,39,55,0.34,93,58,58.36,39.9167611111111,-93.9828777777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,38,38,1,13109 Highway O,,EXCELSIOR SPRINGS,,MO,64024,39,19,43.23,94,9,50.09,39.328675,-94.1639138888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,39,39,1,1433 South St,,STOCKTON,,MO,65785,37,40,58.96,93,48,12.58,37.6830444444444,-93.8034944444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,40,40,1,23030 East Highway 86,,GRANBY,,MO,64844,36,52,40.08,94,13,40.43,36.8778,-94.2278972222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,41,41,1,301 North Grand Street,,LAMAR,,MO,64759,37,30,13.18,94,16,23.93,37.5036611111111,-94.2733138888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,42,42,1,1416 South 19th Street,,BLUE SPRINGS,,MO,64015,39,0,4.19,94,17,11.89,39.0011638888889,-94.2866361111111,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,43,43,1,1102 North 18th Street,,ALBANY,,MO,64402,40,15,18.32,94,18,58.38,40.2550888888889,-94.3162166666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,44,44,1,850 Southeast Church Street,,LEE'S SUMMIT,,MO,64063,38,54,8.56,94,19,35.92,38.9023777777778,-94.3266444444445,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,45,45,1,1100 East Grand Avenue,,CAMERON,,MO,64429,39,44,28.9,94,13,33.61,39.7413611111111,-94.2260027777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,46,46,1,1226 Ridgewood Road,,NEOSHO,,MO,64850,36,52,25.87,94,23,35.74,36.8738527777778,-94.3932611111111,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,47,47,1,705 West Walnut Street,,INDEPENDENCE,,MO,64050,39,5,23.41,94,25,28.44,39.0898361111111,-94.4245666666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,48,48,1,5609 Norfleet Rd,,KANSAS CITY,,MO,64133,39,1,9.46,94,25,46.99,39.0192944444444,-94.4297194444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,49,49,1,1130 N Clayview Dr,,LIBERTY,,MO,64068,39,15,30.95,94,26,19.6,39.2585972222222,-94.4387777777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190375,SESREG2018092004070,current,,REG,,FES,50,50,1,1101 North Olive Street,,NEVADA,,MO,64772,37,50,58.6,94,22,16,37.8496111111111,-94.3711111111111,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"BONNEVILLE 1, 5, 7",4,1,85 South 900 East,,PROVO,,UT,84606,40,13,55.69,111,38,32.25,40.2321361111111,-111.642291666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"CANYON VIEW  1, 5, 7",35,1,575 East 800 North,,Orem,,UT,84097,40,18,46.38,111,40,54.49,40.3128833333333,-111.681802777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"CASCADE 1, 2, OREM Y",36,1,481 East Center Street,,Orem,,UT,84097,40,17,51.03,111,41,1.98,40.2975083333333,-111.683883333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"CHERRY HILL 1, 2, 4",38,1,1700 South 400 East,,Orem,,UT,84058,40,15,56.87,111,41,8.72,40.2657972222222,-111.685755555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"CROSSWINDS 1, WOLF H",2,1,870 East Canyon Road,,SPANISH FORK,,UT,84660,40,6,11.98,111,38,22.74,40.1033277777778,-111.63965,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"EDGEMONT 1, MEADOW W",17,1,303 W 3700 N,,PROVO,,UT,84604,40,16,56.28,111,39,50.56,40.2823,-111.664044444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"EDGEMONT 10, FOOTHIL",12,1,345 East 4525 North,,PROVO,,UT,84604,40,17,38.37,111,39,8.54,40.2939916666667,-111.652372222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"EDGEMONT 5, 12, PLEA",11,1,350 East 2950 North,,PROVO,,UT,84604,40,16,20.84,111,39,8.13,40.2724555555556,-111.652258333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"EDGEMONT 9, PROVO CA",13,1,4300 North Canyon Road,,PROVO,,UT,84604,40,17,24.8,111,39,11.87,40.2902222222222,-111.653297222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"ELK RIDGE 1, 7, 11 &",39,1,185 E Ridgeview Dr,,Elk Ridge,,UT,84651,40,1,16.25,111,40,45.57,40.0211805555556,-111.679325,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"ELK RIDGE 2, 3, 4",30,1,259 East Alpine Drive,,Elk Ridge,,UT,84651,40,0,46.69,111,40,40.91,40.0129694444444,-111.678030555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"FOOTHILLS, SALEM  6",16,1,470 E Salem Canal Rd,,Salem,,UT,84652,40,2,53.51,111,39,48.27,40.0481972222222,-111.663408333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"FREEDOM 4, PROVO 6,",20,1,835 South 500 West,,PROVO,,UT,84601,40,13,21.34,111,40,1.64,40.2225944444445,-111.667122222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"GENEVA HEIGHTS 8, OR",24,1,810 East 600 North,,Orem,,UT,84097,40,18,28.03,111,40,32.53,40.3077861111111,-111.675702777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"GRAND VIEW, MORGAN 1",27,1,355 North 700 East,,Morgan,,UT,84050,41,2,54.18,111,40,31.11,41.0483833333333,-111.675308333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"GRANDVIEW 14, 15, 17",40,1,1122 Grand Avenue,,PROVO,,UT,84604,40,14,57.43,111,41,25.13,40.2492861111111,-111.690313888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"GRANDVIEW 2, 4, 20",29,1,1081 West 1060 North,,PROVO,,UT,84604,40,14,53.47,111,40,39.48,40.2481861111111,-111.677633333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"GRANDVIEW 6, 10, 21",41,1,1600 North 1880 West,,PROVO,,UT,84604,40,15,18.82,111,41,25.22,40.2552277777778,-111.690338888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"HEATHERIDGE 2, 3, 9",37,1,450 East 2000 North,,Orem,,UT,84057,40,20,1.01,111,41,8.54,40.3336138888889,-111.685705555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"HILLCREST 1, 2, 3 &",23,1,1450 South 800 East,,Orem,,UT,84097,40,16,12.18,111,40,32.26,40.27005,-111.675627777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"KOLOB YSA, PROVO CIT",19,1,1021 South 500 West,,PROVO,,UT,84601,40,13,12.5,111,39,59.31,40.2201388888889,-111.666475,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"LAKERIDGE 1 (SP), 3,",42,1,158 E 1100 S,,Orem,,UT,84058,40,16,36.41,111,41,28.88,40.2767805555556,-111.691355555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"LELAND, SPANISH FORK",18,1,575 West 400 North,,SPANISH FORK,,UT,84660,40,6,53.39,111,39,52.58,40.1148305555556,-111.664605555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"LINDON 9, 11, 13 &",43,1,1050 East 100 North,,LINDON,,UT,84042,40,20,24.87,111,41,29.63,40.3402416666667,-111.691563888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,LOA &,9,1,20 South 100 West,,LOA,,UT,84747,38,24,6.63,111,38,42.77,38.4018416666667,-111.645213888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"MOUNT LOAFER, SALEM",32,1,695 South 300 West,,Salem,,UT,84653,40,2,37.64,111,40,45.19,40.0437888888889,-111.679219444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"MOUNT NEBO, SPANISH",1,1,1006 East 200 South,,SPANISH FORK,,UT,84660,40,6,24.87,111,38,15.75,40.1069083333333,-111.637708333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"NORTH PARK 2, 3, PIO",33,1,1066 West 200 North,,PROVO,,UT,84601,40,14,12.05,111,40,37.95,40.2366805555556,-111.677208333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"NORTHRIDGE 3, 7, 13",49,1,1674 North 200 West,,Orem,,UT,84057,40,19,39.63,111,42,2.14,40.327675,-111.700594444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"OAK HILLS 2, 4, 8 (S",6,1,925 East North Temple Drive,,PROVO,,UT,84604,40,15,50.42,111,38,38.31,40.2640055555556,-111.643975,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"OREM 1, 2, 9 (SMN) &",45,1,80 South 280 East,,OREM,,UT,84097,40,17,43.77,111,41,23.85,40.2954916666667,-111.689958333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"OREM YSA 16, 25, PRO",25,1,710 South 800 East,,Orem,,UT,84097,40,17,3.45,111,40,36.41,40.2842916666667,-111.676780555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"PARK 3, 5, SUNSET &",48,1,195 West 300 South,,Orem,,UT,84058,40,17,29.73,111,42,23,40.2915916666667,-111.706388888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"PIONEER 2, 5 (SP), R",34,1,450 North 1220 West,,Provo,,UT,84601,40,14,23.06,111,40,48.41,40.2397388888889,-111.680113888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"PLEASANT VIEW 5, 8,",3,1,2400 North 1060 East,,PROVO,,UT,84604,40,15,57.78,111,38,22.84,40.26605,-111.639677777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"PROVO MRD STDNT 1, 4",5,1,1600 North 900 East,,PROVO,,UT,84604,40,15,17.8,111,38,34.2,40.2549444444445,-111.642833333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"PROVO MRD STDNT 31,",8,1,945 East 700 North,,PROVO,,UT,84606,40,14,35.71,111,38,32.24,40.2432527777778,-111.642288888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,PROVO MRD STUDENT 18,14,1,1915 North Canyon Road,,PROVO,,UT,84604,40,15,33.1,111,39,24.23,40.2591944444445,-111.656730555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"PROVO PEAK 4, 8 (SP)",15,1,667 North 600 East,,PROVO,,UT,84606,40,14,33.22,111,38,55.7,40.2425611111111,-111.648805555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,PROVO UTAH YSA 11TH,31,1,735 East 800 South,,Orem,,UT,84097,40,16,57.46,111,40,41.1,40.2826277777778,-111.678083333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"PROVO YSA 2, 6, 7, 9",10,1,395 East 600 North,,PROVO,,UT,84604,40,14,30.89,111,39,7.21,40.2419138888889,-111.652002777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,RIVERVIEW &,21,1,452 West 550 South,,SPANISH FORK,,UT,84660,40,6,9.88,111,39,44.26,40.1027444444445,-111.662294444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"SHARON 5, 6, 8 &",22,1,545 South 800 East,,Orem,,UT,84097,40,17,11.6,111,40,32.06,40.2865555555556,-111.675572222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"SHARON PARK 4, 8, 13",50,1,85 East 700 North,,Orem,,UT,84057,40,18,37.66,111,41,40.12,40.3104611111111,-111.694477777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"SPANISH FORK 11, 20",7,1,505 East 900 North,,SPANISH FORK,,UT,84660,40,7,17.4,111,38,42.57,40.1215,-111.645158333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"STONEWOOD 3, 4, 5 &",47,1,450 South 100 West,,Orem,,UT,84058,40,17,20.05,111,41,52.5,40.2889027777778,-111.697916666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"SUNSET 2 (SP), 9, 11",28,1,1560 South 1100 West,,PROVO,,UT,84601,40,12,47.7,111,40,38.07,40.21325,-111.677241666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"SUNSET 3, 12 (TNGN)",26,1,1090 West 1020 South,,PROVO,,UT,84601,40,13,13.81,111,40,37.44,40.2205027777778,-111.677066666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"TIMPANOGOS PARK 1, 3",46,1,1000 North Main Street,,Orem,,UT,84057,40,18,57.9,111,41,43.91,40.3160833333333,-111.695530555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190376,SESREG2018101004071,current,,REG,,FES,"WINDSOR 2, 5, 6 &",44,1,60 East 1600 North,,Orem,,UT,84057,40,19,33.95,111,41,39.47,40.3260972222222,-111.694297222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"ANDERSON, COTTONWOOD",42,1,4075 Riverside Avenue,,ANDERSON,,CA,96007,40,28,11.94,122,18,14.82,40.4699833333333,-122.304116666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"ANTELOPE, RED BLUFF",50,1,545 Berrendos Avenue,,RED BLUFF,,CA,96080,40,11,34.45,122,12,26.31,40.1929027777778,-122.207308333333,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"ARCATA, HUMBOLDT YSA",19,1,1660 Heartwood Drive,,MCKINLEYVILLE,,CA,95519,40,56,21.35,124,5,59.97,40.9392638888889,-124.099991666667,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,ASH FLAT,10,1,13324 Highway 62 East,,ASH FLAT,,AR,72513,36,15,47.53,91,38,41.18,36.2632027777778,-91.6447722222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"BAY, GOLDEN GATE",36,1,1900 Pacific Avenue,,SAN FRANCISCO,,CA,94109,37,47,40.68,122,25,36.58,37.7946333333333,-122.426827777778,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"BEEBE, SEARCY",15,1,801 Skyline Drive,,SEARCY,,AR,72143,35,14,18.87,91,44,48.01,35.238575,-91.7466694444444,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"BENICIA, LAKE HERMAN",48,1,1125 Southampton Road,,BENICIA,,CA,94510,38,4,11.4,122,10,21.18,38.0698333333333,-122.17255,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"BENTON, LITTLE ROCK,",1,1,13901 Quail Run Drive,,LITTLE ROCK,,AR,72210,34,39,24.78,92,25,55.18,34.6568833333333,-92.4319944444445,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,BERKELEY 1,43,1,1501 Walnut Street,,BERKELEY,,CA,94709,37,52,48.51,122,16,4.19,37.8801416666667,-122.267830555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,BLYTHEVILLE,21,1,1308 Mockingbird Lane,,BLYTHEVILLE,,AR,72315,35,56,28.22,89,55,1.58,35.9411722222222,-89.9171055555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"CABOT, JACKSONVILLE",5,1,6110 T P White Drive,,JACKSONVILLE,,AR,72076,34,55,21.25,92,4,51.77,34.9225694444444,-92.0810472222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"CHOCTAW, QUITMAN",8,1,6556 Heber Springs Road West,,QUITMAN,,AR,72131,35,22,20.44,92,13,29.99,35.3723444444444,-92.2249972222222,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"CRESCENT CITY 1, 2",16,1,1031 A Street,,CRESCENT CITY,,CA,95531,41,45,14.64,124,12,30.98,41.7540666666667,-124.208605555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"CRYSTAL SPRINGS 1, E",37,1,975 Sneath Lane,,SAN BRUNO,,CA,94066,37,38,5.21,122,25,29.93,37.6347805555556,-122.424980555556,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,ETNA,33,1,233 North Hwy 3,,ETNA,,CA,96027,41,27,43.04,122,53,36.42,41.4619555555556,-122.89345,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,"EUREKA 1, 2",17,1,2806 Dolbeer Street,,EUREKA,,CA,95501,40,46,57.78,124,8,33.32,40.7827166666667,-124.142588888889,communications-tower-11,
Corporation of the Presiding Bishop of The Church ,E190378,SESREG2018091704073,pending,,REG,7/1/2020,FES,FORT BRAGG,27,1,355 South Lincoln Street,,FORT BRAGG,,CA,95437,39,26,14.81,123,47,45.23,39.4374472222222,-123.795897222222,communications-tower-11,
